day,hour,value
2011,Afghanistan,13
1991,Argentina,96.04135849
2001,Argentina,97.19341078
2011,Argentina,97.89042
1981,Bangladesh,17.9716294
1991,Bangladesh,25.83897988
2001,Bangladesh,40.82334996
2011,Bangladesh,53.4105
2000,Brazil,86.50004781
2004,Brazil,88.80612665
2006,Brazil,89.855592
2007,Brazil,90.22800731
2008,Brazil,90.21955497
2009,Brazil,90.41121725
2010,Brazil,90.68169519
1982,China,51.13680838
1990,China,68.07207742
2000,China,86.5265951
2010,China,92.71123475
1994,Hungary,98.7131
2004,Hungary,98.85411
2011,Hungary,98.9387
1981,India,25.67625204
1991,India,33.72952676
2001,India,47.84209864
2006,India,50.82375647
1990,Indonesia,75.27011869
2004,Indonesia,86.79958907
2006,Indonesia,88.78698384
2008,Indonesia,89.10139087
2009,Indonesia,89.67711674
2011,Indonesia,90.0686972
1991,Malaysia,77.28308751
2000,Malaysia,85.35422367
2010,Malaysia,90.74768179
1981,Nepal,9.153116043
1991,Nepal,17.38179314
2001,Nepal,34.88676388
2011,Nepal,46.70609809
1991,Nigeria,43.72919707
2003,Nigeria,43.32205414
2008,Nigeria,41.38675572
1981,Pakistan,14.77155238
1998,Pakistan,29.04383911
2005,Pakistan,35.36751977
2006,Pakistan,39.61323361
2008,Pakistan,40.08117943
2009,Pakistan,40.31461918
1990,Philippines,93.18072455
2000,Philippines,92.65490651
2003,Philippines,93.56453343
2008,Philippines,95.82563256
1994,Poland,99.11849
2004,Poland,99.42229
2011,Poland,99.58486
1981,Portugal,74.60798985
1991,Portugal,84.65821434
2011,Portugal,93.95712
1989,Russia,96.75817017
2002,Russia,99.22835701
2010,Russia,99.64777601
1990,Singapore,83.02684811
2000,Singapore,88.64517516
2010,Singapore,93.77481392
1996,South Africa,80.92862924
2007,South Africa,87.04310202
2011,South Africa,92.18371416
1981,Sri Lanka,82.02197427
2001,Sri Lanka,89.13576427
2006,Sri Lanka,89.09135232
2008,Sri Lanka,89.07347232
2010,Sri Lanka,89.95867849
2000,Thailand,90.51601685
2005,Thailand,91.52954868
