day,hour,value
2011,Afghanistan,39
1991,Argentina,96.12819586
2001,Argentina,97.19331158
2011,Argentina,97.85877
1981,Bangladesh,29.22723268
1991,Bangladesh,35.31929562
2001,Bangladesh,47.4855001
2011,Bangladesh,57.73479
2000,Brazil,86.36787962
2004,Brazil,88.61624253
2006,Brazil,89.615227
2007,Brazil,90.00936956
2008,Brazil,90.03661994
2009,Brazil,90.29820984
2010,Brazil,90.37917744
1982,China,65.50508573
1990,China,77.78505864
2000,China,90.92021038
2010,China,95.12447711
1994,Hungary,98.98274
2004,Hungary,99.02997
2011,Hungary,99.04719
1981,India,40.76359022
1991,India,48.22207484
2001,India,61.01455637
2006,India,62.75447457
2011,India,62.75447457
1990,Indonesia,81.51985243
2004,Indonesia,90.38478936
2006,Indonesia,91.98227127
2008,Indonesia,92.19230071
2009,Indonesia,92.58169512
2011,Indonesia,92.81190757
1991,Malaysia,82.91537125
2000,Malaysia,88.68775716
2010,Malaysia,93.11788558
1981,Nepal,20.5736734
1991,Nepal,32.97558613
2001,Nepal,48.60897151
2011,Nepal,57.36910244
1991,Nigeria,55.4467549
2003,Nigeria,54.77317856
2008,Nigeria,51.07765836
1981,Pakistan,25.72519295
1998,Pakistan,42.69930972
2005,Pakistan,49.87364482
2006,Pakistan,54.1512107
2008,Pakistan,55.526367
2009,Pakistan,54.89263615
1990,Philippines,93.57389552
2000,Philippines,92.60006358
2003,Philippines,92.59069009
2008,Philippines,95.4200993
1994,Poland,99.40273
2004,Poland,99.61789
2011,Poland,99.73019
1981,Portugal,79.43561066
1991,Portugal,87.94784765
2011,Portugal,95.43412
1989,Russia,97.98605483
2002,Russia,99.44096771
2010,Russia,99.6842667
1990,Singapore,89.09599671
2000,Singapore,92.54939909
2010,Singapore,95.85732781
1996,South Africa,82.40210237
2007,South Africa,88.71725067
2011,South Africa,92.98314017
1981,Sri Lanka,86.77792201
2001,Sri Lanka,90.68275459
2006,Sri Lanka,90.80882594
2008,Sri Lanka,90.55795051
2010,Sri Lanka,91.18135934
2000,Thailand,92.64654423
2005,Thailand,93.50647575
