day,hour,value
1981,Afghanistan,7.67
1982,Afghanistan,7.67
1983,Afghanistan,7.67
1984,Afghanistan,7.68
1985,Afghanistan,7.68
1986,Afghanistan,7.68
1987,Afghanistan,7.68
1988,Afghanistan,7.68
1989,Afghanistan,7.68
1990,Afghanistan,7.69
1991,Afghanistan,7.7
1992,Afghanistan,7.73
1993,Afghanistan,7.76
1994,Afghanistan,7.8
1995,Afghanistan,7.83
1996,Afghanistan,7.86
1997,Afghanistan,7.87
1998,Afghanistan,7.85
1999,Afghanistan,7.81
2000,Afghanistan,7.73
2001,Afghanistan,7.62
2002,Afghanistan,7.48
2003,Afghanistan,7.32
2004,Afghanistan,7.14
2005,Afghanistan,6.93
2006,Afghanistan,6.7
2007,Afghanistan,6.46
2008,Afghanistan,6.2
2009,Afghanistan,5.93
2010,Afghanistan,5.66
2011,Afghanistan,5.4
2012,Afghanistan,5.14
2013,Afghanistan,4.9
2014,Afghanistan,4.68
2015,Afghanistan,4.47
1981,Argentina,3.27
1982,Argentina,3.21
1983,Argentina,3.16
1984,Argentina,3.12
1985,Argentina,3.09
1986,Argentina,3.07
1987,Argentina,3.06
1988,Argentina,3.04
1989,Argentina,3.02
1990,Argentina,2.99
1991,Argentina,2.96
1992,Argentina,2.92
1993,Argentina,2.88
1994,Argentina,2.83
1995,Argentina,2.77
1996,Argentina,2.72
1997,Argentina,2.66
1998,Argentina,2.6
1999,Argentina,2.54
2000,Argentina,2.48
2001,Argentina,2.42
2002,Argentina,2.38
2003,Argentina,2.34
2004,Argentina,2.31
2005,Argentina,2.29
2006,Argentina,2.27
2007,Argentina,2.25
2008,Argentina,2.24
2009,Argentina,2.23
2010,Argentina,2.22
2011,Argentina,2.2
2012,Argentina,2.19
2013,Argentina,2.18
2014,Argentina,2.16
2015,Argentina,2.15
1981,Australia,1.94
1982,Australia,1.93
1983,Australia,1.92
1984,Australia,1.84
1985,Australia,1.92
1986,Australia,1.87
1987,Australia,1.85
1988,Australia,1.83
1989,Australia,1.84
1990,Australia,1.9
1991,Australia,1.85
1992,Australia,1.89
1993,Australia,1.86
1994,Australia,1.84
1995,Australia,1.82
1996,Australia,1.8
1997,Australia,1.78
1998,Australia,1.76
1999,Australia,1.76
2000,Australia,1.76
2001,Australia,1.73
2002,Australia,1.76
2003,Australia,1.75
2004,Australia,1.76
2005,Australia,1.79
2006,Australia,1.82
2007,Australia,1.92
2008,Australia,1.96
2009,Australia,1.9
2010,Australia,1.89
2011,Australia,1.88
2012,Australia,1.89
2013,Australia,1.88
2014,Australia,1.88
2015,Australia,1.88
1981,Bangladesh,6.22
1982,Bangladesh,6.06
1983,Bangladesh,5.89
1984,Bangladesh,5.71
1985,Bangladesh,5.52
1986,Bangladesh,5.33
1987,Bangladesh,5.13
1988,Bangladesh,4.93
1989,Bangladesh,4.74
1990,Bangladesh,4.55
1991,Bangladesh,4.37
1992,Bangladesh,4.2
1993,Bangladesh,4.03
1994,Bangladesh,3.88
1995,Bangladesh,3.73
1996,Bangladesh,3.6
1997,Bangladesh,3.47
1998,Bangladesh,3.35
1999,Bangladesh,3.23
2000,Bangladesh,3.12
2001,Bangladesh,3.01
2002,Bangladesh,2.91
2003,Bangladesh,2.8
2004,Bangladesh,2.7
2005,Bangladesh,2.61
2006,Bangladesh,2.52
2007,Bangladesh,2.44
2008,Bangladesh,2.38
2009,Bangladesh,2.32
2010,Bangladesh,2.28
2011,Bangladesh,2.24
2012,Bangladesh,2.21
2013,Bangladesh,2.18
2014,Bangladesh,2.15
2015,Bangladesh,2.12
1981,Brazil,3.97
1982,Brazil,3.85
1983,Brazil,3.72
1984,Brazil,3.59
1985,Brazil,3.45
1986,Brazil,3.31
1987,Brazil,3.17
1988,Brazil,3.04
1989,Brazil,2.92
1990,Brazil,2.81
1991,Brazil,2.72
1992,Brazil,2.64
1993,Brazil,2.58
1994,Brazil,2.54
1995,Brazil,2.5
1996,Brazil,2.47
1997,Brazil,2.45
1998,Brazil,2.43
1999,Brazil,2.4
2000,Brazil,2.36
2001,Brazil,2.32
2002,Brazil,2.26
2003,Brazil,2.2
2004,Brazil,2.14
2005,Brazil,2.07
2006,Brazil,2
2007,Brazil,1.94
2008,Brazil,1.9
2009,Brazil,1.86
2010,Brazil,1.84
2011,Brazil,1.82
2012,Brazil,1.81
2013,Brazil,1.8
2014,Brazil,1.79
2015,Brazil,1.78
1981,Canada,1.65
1982,Canada,1.64
1983,Canada,1.62
1984,Canada,1.62
1985,Canada,1.61
1986,Canada,1.59
1987,Canada,1.58
1988,Canada,1.6
1989,Canada,1.66
1990,Canada,1.72
1991,Canada,1.71
1992,Canada,1.71
1993,Canada,1.68
1994,Canada,1.69
1995,Canada,1.67
1996,Canada,1.63
1997,Canada,1.57
1998,Canada,1.56
1999,Canada,1.54
2000,Canada,1.51
2001,Canada,1.54
2002,Canada,1.51
2003,Canada,1.54
2004,Canada,1.55
2005,Canada,1.57
2006,Canada,1.61
2007,Canada,1.66
2008,Canada,1.68
2009,Canada,1.67
2010,Canada,1.63
2011,Canada,1.61
2012,Canada,1.66
2013,Canada,1.67
2014,Canada,1.68
2015,Canada,1.68
1981,China,2.71
1982,China,2.62
1983,China,2.56
1984,China,2.6
1985,China,2.65
1986,China,2.68
1987,China,2.68
1988,China,2.63
1989,China,2.55
1990,China,2.43
1991,China,2.28
1992,China,2.11
1993,China,1.95
1994,China,1.81
1995,China,1.68
1996,China,1.59
1997,China,1.52
1998,China,1.48
1999,China,1.45
2000,China,1.45
2001,China,1.46
2002,China,1.47
2003,China,1.49
2004,China,1.5
2005,China,1.51
2006,China,1.52
2007,China,1.53
2008,China,1.53
2009,China,1.54
2010,China,1.54
2011,China,1.54
2012,China,1.55
2013,China,1.56
2014,China,1.56
2015,China,1.57
1981,Finland,1.65
1982,Finland,1.72
1983,Finland,1.74
1984,Finland,1.7
1985,Finland,1.64
1986,Finland,1.6
1987,Finland,1.59
1988,Finland,1.7
1989,Finland,1.71
1990,Finland,1.79
1991,Finland,1.8
1992,Finland,1.85
1993,Finland,1.81
1994,Finland,1.85
1995,Finland,1.81
1996,Finland,1.76
1997,Finland,1.75
1998,Finland,1.71
1999,Finland,1.73
2000,Finland,1.73
2001,Finland,1.73
2002,Finland,1.72
2003,Finland,1.76
2004,Finland,1.8
2005,Finland,1.8
2006,Finland,1.84
2007,Finland,1.83
2008,Finland,1.85
2009,Finland,1.86
2010,Finland,1.87
2011,Finland,1.83
2012,Finland,1.8
2013,Finland,1.85
2014,Finland,1.85
2015,Finland,1.86
1981,France,1.84
1982,France,1.84
1983,France,1.85
1984,France,1.85
1985,France,1.84
1986,France,1.83
1987,France,1.81
1988,France,1.79
1989,France,1.77
1990,France,1.75
1991,France,1.74
1992,France,1.72
1993,France,1.72
1994,France,1.72
1995,France,1.72
1996,France,1.74
1997,France,1.75
1998,France,1.77
1999,France,1.8
2000,France,1.82
2001,France,1.84
2002,France,1.87
2003,France,1.89
2004,France,1.92
2005,France,1.94
2006,France,1.95
2007,France,1.96
2008,France,1.97
2009,France,1.98
2010,France,1.98
2011,France,1.98
2012,France,1.98
2013,France,1.98
2014,France,1.98
2015,France,1.98
1981,Germany,1.47
1982,Germany,1.46
1983,Germany,1.46
1984,Germany,1.46
1985,Germany,1.45
1986,Germany,1.44
1987,Germany,1.43
1988,Germany,1.41
1989,Germany,1.38
1990,Germany,1.36
1991,Germany,1.34
1992,Germany,1.32
1993,Germany,1.31
1994,Germany,1.31
1995,Germany,1.31
1996,Germany,1.32
1997,Germany,1.33
1998,Germany,1.34
1999,Germany,1.35
2000,Germany,1.35
2001,Germany,1.35
2002,Germany,1.35
2003,Germany,1.35
2004,Germany,1.35
2005,Germany,1.35
2006,Germany,1.36
2007,Germany,1.36
2008,Germany,1.37
2009,Germany,1.38
2010,Germany,1.39
2011,Germany,1.4
2012,Germany,1.41
2013,Germany,1.42
2014,Germany,1.43
2015,Germany,1.44
1981,Hungary,1.93
1982,Hungary,1.88
1983,Hungary,1.85
1984,Hungary,1.83
1985,Hungary,1.83
1986,Hungary,1.83
1987,Hungary,1.84
1988,Hungary,1.85
1989,Hungary,1.84
1990,Hungary,1.83
1991,Hungary,1.8
1992,Hungary,1.75
1993,Hungary,1.69
1994,Hungary,1.63
1995,Hungary,1.56
1996,Hungary,1.49
1997,Hungary,1.43
1998,Hungary,1.37
1999,Hungary,1.33
2000,Hungary,1.31
2001,Hungary,1.29
2002,Hungary,1.29
2003,Hungary,1.29
2004,Hungary,1.29
2005,Hungary,1.3
2006,Hungary,1.31
