day,hour,value
1981,Afghanistan,41.77
1982,Afghanistan,42.347
1983,Afghanistan,42.977
1984,Afghanistan,43.661
1985,Afghanistan,44.4
1986,Afghanistan,45.192
1987,Afghanistan,46.024
1988,Afghanistan,46.88
1989,Afghanistan,47.744
1990,Afghanistan,48.601
1991,Afghanistan,49.439
1992,Afghanistan,50.247
1993,Afghanistan,51.017
1994,Afghanistan,51.738
1995,Afghanistan,52.4
1996,Afghanistan,52.995
1997,Afghanistan,53.527
1998,Afghanistan,54.009
1999,Afghanistan,54.449
2000,Afghanistan,54.863
2001,Afghanistan,55.271
2002,Afghanistan,55.687
2003,Afghanistan,56.122
2004,Afghanistan,56.583
2005,Afghanistan,57.071
2006,Afghanistan,57.582
2007,Afghanistan,58.102
2008,Afghanistan,58.618
2009,Afghanistan,59.124
2010,Afghanistan,59.612
2011,Afghanistan,60.079
2012,Afghanistan,60.524
2013,Afghanistan,60.947
2014,Afghanistan,61.347
2015,Afghanistan,61.726
1981,Argentina,69.746
1982,Argentina,70.004
1983,Argentina,70.235
1984,Argentina,70.439
1985,Argentina,70.624
1986,Argentina,70.798
1987,Argentina,70.972
1988,Argentina,71.156
1989,Argentina,71.353
1990,Argentina,71.566
1991,Argentina,71.791
1992,Argentina,72.024
1993,Argentina,72.257
1994,Argentina,72.489
1995,Argentina,72.719
1996,Argentina,72.945
1997,Argentina,73.169
1998,Argentina,73.39
1999,Argentina,73.608
2000,Argentina,73.822
2001,Argentina,74.033
2002,Argentina,74.24
2003,Argentina,74.444
2004,Argentina,74.645
2005,Argentina,74.843
2006,Argentina,75.036
2007,Argentina,75.225
2008,Argentina,75.41
2009,Argentina,75.592
2010,Argentina,75.772
2011,Argentina,75.95
2012,Argentina,76.128
2013,Argentina,76.305
2014,Argentina,76.482
2015,Argentina,76.661
1981,Australia,74.96
1982,Australia,74.74
1983,Australia,75.55
1984,Australia,76.02
1985,Australia,75.45
1986,Australia,76.13
1987,Australia,76.32
1988,Australia,76.35
1989,Australia,76.45
1990,Australia,77.05
1991,Australia,77.54
1992,Australia,77.54
1993,Australia,78.07
1994,Australia,78.07
1995,Australia,78.45
1996,Australia,78.53
1997,Australia,78.79
1998,Australia,79.28
1999,Australia,79.53
2000,Australia,79.93
2001,Australia,80.27
2002,Australia,80.29
2003,Australia,80.69
2004,Australia,81.04
2005,Australia,81.44
2006,Australia,81.63
2007,Australia,81.67
2008,Australia,81.567
2009,Australia,81.937
2010,Australia,82.091
2011,Australia,82.231
2012,Australia,82.364
2013,Australia,82.496
2014,Australia,82.629
2015,Australia,82.767
1981,Bangladesh,55.446
1982,Bangladesh,55.921
1983,Bangladesh,56.384
1984,Bangladesh,56.861
1985,Bangladesh,57.368
1986,Bangladesh,57.9
1987,Bangladesh,58.439
1988,Bangladesh,58.97
1989,Bangladesh,59.493
1990,Bangladesh,60.014
1991,Bangladesh,60.537
1992,Bangladesh,61.066
1993,Bangladesh,61.602
1994,Bangladesh,62.146
1995,Bangladesh,62.693
1996,Bangladesh,63.24
1997,Bangladesh,63.78
1998,Bangladesh,64.307
1999,Bangladesh,64.819
2000,Bangladesh,65.309
2001,Bangladesh,65.777
2002,Bangladesh,66.223
2003,Bangladesh,66.651
2004,Bangladesh,67.064
2005,Bangladesh,67.465
2006,Bangladesh,67.86
2007,Bangladesh,68.253
2008,Bangladesh,68.648
2009,Bangladesh,69.046
2010,Bangladesh,69.449
2011,Bangladesh,69.854
2012,Bangladesh,70.258
2013,Bangladesh,70.657
2014,Bangladesh,71.05
2015,Bangladesh,71.435
1981,Brazil,63.008
1982,Brazil,63.353
1983,Brazil,63.71
1984,Brazil,64.081
1985,Brazil,64.466
1986,Brazil,64.862
1987,Brazil,65.264
1988,Brazil,65.667
1989,Brazil,66.068
1990,Brazil,66.468
1991,Brazil,66.867
1992,Brazil,67.267
1993,Brazil,67.668
1994,Brazil,68.066
1995,Brazil,68.46
1996,Brazil,68.846
1997,Brazil,69.221
1998,Brazil,69.582
1999,Brazil,69.929
2000,Brazil,70.261
2001,Brazil,70.578
2002,Brazil,70.882
2003,Brazil,71.177
2004,Brazil,71.463
2005,Brazil,71.745
2006,Brazil,72.022
2007,Brazil,72.298
2008,Brazil,72.572
2009,Brazil,72.846
2010,Brazil,73.121
2011,Brazil,73.395
2012,Brazil,73.667
2013,Brazil,73.937
2014,Brazil,74.204
2015,Brazil,74.468
1981,Canada,75.55
1982,Canada,75.76
1983,Canada,76.13
1984,Canada,76.43
1985,Canada,76.41
1986,Canada,76.56
1987,Canada,76.86
1988,Canada,76.93
1989,Canada,77.2
1990,Canada,77.51
1991,Canada,77.69
1992,Canada,77.95
1993,Canada,77.83
1994,Canada,78.01
1995,Canada,78.13
1996,Canada,78.4
1997,Canada,78.61
1998,Canada,78.83
1999,Canada,79.05
2000,Canada,79.41
2001,Canada,79.65
2002,Canada,79.77
2003,Canada,79.95
2004,Canada,80.25
2005,Canada,80.36
2006,Canada,80.78
2007,Canada,80.592
2008,Canada,80.743
2009,Canada,80.814
2010,Canada,80.986
2011,Canada,81.157
2012,Canada,81.323
2013,Canada,81.482
2014,Canada,81.633
2015,Canada,81.778
1981,China,66.44976
1982,China,67.588
1983,China,67.848
1984,China,68.1
1985,China,68.344
1986,China,68.581
1987,China,68.81
1988,China,69.032
1989,China,69.248
1990,China,69.452
1991,China,69.638
1992,China,69.805
1993,China,69.96
1994,China,70.115
1995,China,70.295
1996,China,70.529
1997,China,70.832
1998,China,71.208
1999,China,71.646
2000,China,72.124
2001,China,72.609
2002,China,73.064
2003,China,73.462
2004,China,73.793
2005,China,74.053
2006,China,74.253
2007,China,74.418
2008,China,74.57
2009,China,74.718
2010,China,74.868
2011,China,75.023
2012,China,75.178
2013,China,75.331
2014,China,75.484
2015,China,75.636
1981,Finland,73.98
1982,Finland,74.55
1983,Finland,74.46
1984,Finland,74.77
1985,Finland,74.44
1986,Finland,74.8
1987,Finland,74.83
1988,Finland,74.79
1989,Finland,75.01
1990,Finland,75.04
1991,Finland,75.45
1992,Finland,75.7
1993,Finland,75.94
1994,Finland,76.64
1995,Finland,76.66
1996,Finland,76.94
1997,Finland,77.13
1998,Finland,77.34
1999,Finland,77.53
2000,Finland,77.76
2001,Finland,78.23
2002,Finland,78.37
2003,Finland,78.63
2004,Finland,78.96
2005,Finland,79.09
2006,Finland,79.49
2007,Finland,79.53
2008,Finland,79.699
2009,Finland,79.783
2010,Finland,79.987
2011,Finland,80.18
2012,Finland,80.362
2013,Finland,80.535
2014,Finland,80.699
2015,Finland,80.855
1981,France,74.51
1982,France,74.89
1983,France,74.87
1984,France,75.37
1985,France,75.47
1986,France,75.75
1987,France,76.34
1988,France,76.57
1989,France,76.69
1990,France,76.98
1991,France,77.17
1992,France,77.46
1993,France,77.5
1994,France,77.94
1995,France,78.06
1996,France,78.27
1997,France,78.62
1998,France,78.79
1999,France,78.92
2000,France,79.23
2001,France,79.41
2002,France,79.57
2003,France,79.57
2004,France,80.5
2005,France,80.47
2006,France,80.88
2007,France,81.14
2008,France,81.254
2009,France,81.17
2010,France,81.35
2011,France,81.512
2012,France,81.663
2013,France,81.81
2014,France,81.958
2015,France,82.108
1981,Germany,73.35397106
1982,Germany,73.65699814
1983,Germany,73.93552841
1984,Germany,74.41389786
1985,Germany,74.51755747
1986,Germany,74.72495746
1987,Germany,75.12292896
1988,Germany,75.2959479
1989,Germany,75.47804596
1990,Germany,75.36787333
1991,Germany,75.59077955
1992,Germany,76.04479778
1993,Germany,76.12218832
1994,Germany,76.42427978
1995,Germany,76.60818923
1996,Germany,76.83810683
1997,Germany,77.28068342
1998,Germany,77.64061982
1999,Germany,77.87648215
2000,Germany,78.14127463
2001,Germany,78.49830768
2002,Germany,78.5806085
2003,Germany,78.64897055
2004,Germany,79.23895851
2005,Germany,79.38040311
2006,Germany,79.71853382
2007,Germany,79.88331492
2008,Germany,79.96925873
2009,Germany,80.07800038
2010,Germany,80.23972189
2011,Germany,80.52363277
2012,Germany,80.578
2013,Germany,80.743
2014,Germany,80.903
2015,Germany,81.062
1981,Hungary,69.17
1982,Hungary,69.39
1983,Hungary,68.95
1984,Hungary,68.99
1985,Hungary,68.93
1986,Hungary,69.14
1987,Hungary,69.61
1988,Hungary,70
1989,Hungary,69.44
1990,Hungary,69.41
1991,Hungary,69.46
1992,Hungary,69.21
1993,Hungary,69.25
1994,Hungary,69.68
1995,Hungary,70.08
1996,Hungary,70.67
1997,Hungary,71.07
1998,Hungary,71
1999,Hungary,71.14
2000,Hungary,71.86
2001,Hungary,72.49
2002,Hungary,72.61
