day,hour,value
1981,full time,1675
1981,part time,623
1981,self employed,174
1981,retired,452
1981,housewife,875
1981,student,268
1981,unemployed,314
1982,full time,828
1982,part time,60
1982,self employed,75
1982,retired,152
1982,housewife,227
1982,student,82
1982,unemployed,178
1984,full time,305
1984,part time,70
1984,self employed,118
1984,retired,115
1984,housewife,126
1984,student,34
1984,unemployed,19
1990,full time,2362
1990,part time,620
1990,self employed,1031
1990,retired,405
1990,housewife,952
1990,student,331
1990,unemployed,528
1990,other,82
1991,full time,260
1991,part time,82
1991,self employed,187
1991,retired,131
1991,housewife,148
1991,student,25
1991,unemployed,44
1991,other,1
1995,full time,2647
1995,part time,1082
1995,self employed,1290
1995,retired,1060
1995,housewife,1174
1995,student,565
1995,unemployed,502
1995,other,152
1996,full time,2889
1996,part time,555
1996,self employed,829
1996,retired,905
1996,housewife,1018
1996,student,565
1996,unemployed,908
1996,other,78
1998,full time,178
1998,part time,10
1998,self employed,25
1998,retired,152
1998,housewife,33
1998,student,18
1998,unemployed,30
1998,other,10
1999,full time,1378
1999,part time,373
1999,self employed,289
1999,retired,448
1999,housewife,277
1999,student,198
1999,unemployed,268
1999,other,45
2000,full time,1100
2000,part time,418
2000,self employed,835
2000,retired,195
2000,housewife,749
2000,student,393
2000,unemployed,163
2000,other,95
2001,full time,2048
2001,part time,664
2001,self employed,976
2001,retired,560
2001,housewife,847
2001,student,658
2001,unemployed,1089
2001,other,148
2005,full time,1412
2005,part time,454
2005,self employed,549
2005,retired,669
2005,housewife,568
2005,student,161
2005,unemployed,229
2005,other,115
2006,full time,1957
2006,part time,558
2006,self employed,581
2006,retired,701
2006,housewife,556
2006,student,192
2006,unemployed,684
2006,other,160
2007,full time,206
2007,part time,33
2007,self employed,127
2007,retired,101
2007,housewife,156
2007,student,40
2007,unemployed,69
2007,other,23
2009,full time,203
2009,part time,39
2009,self employed,47
2009,retired,163
2009,housewife,29
2009,student,34
2009,unemployed,88
2009,other,18
2010,full time,277
2010,part time,146
2010,self employed,190
2010,retired,133
2010,housewife,177
2010,student,54
2010,unemployed,74
2010,other,97
2011,full time,576
2011,part time,239
2011,self employed,113
2011,retired,427
2011,housewife,103
2011,student,122
2011,unemployed,130
2011,other,85
2012,full time,1202
2012,part time,601
2012,self employed,1034
2012,retired,571
2012,housewife,956
2012,student,318
2012,unemployed,505
2012,other,243
2013,full time,294
2013,part time,120
2013,self employed,80
2013,retired,153
2013,housewife,111
2013,student,89
2013,unemployed,268
